Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL TANCREDO FERREIRA PINTO,52000761,GO,Mozarlândia,Urbana,A escola não está em área de localização diferenciada,Pública,"AV MANAUS, S N SETOR CAMOES. 76700-000 Mozarlândia - GO.",(62) 33486532,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-14.7563863405958,-50.5697927623987
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO EDUCACIONAL MUL LILLIPUT,52000834,GO,Mozarlândia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MINAS GERAIS Q. 31, SN CENTRO. 76700-000 Mozarlândia - GO.",(62) 85052809,Municipal,Não Informado,Não,Em Tramitação,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-14.7486082278192,-50.5758437421173
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE ENSINO EM PERIODO INTEGRAL OTAVIANO SANTOS CALDAS,52000842,GO,Mundo Novo,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOM PEDRO I, SAO VICENTE DE PAULO. 76530-000 Mundo Novo - GO.",(62) 996343536,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-13.776677,-50.280422
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL MILCA MARTINS FALCHI,52000877,GO,Mundo Novo,Urbana,A escola não está em área de localização diferenciada,Pública,"AV. DOS IPES, SAO LOURENCO. 76530-000 Mundo Novo - GO.",,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-13.7694228,-50.2857261
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL ZILO FERREIRA FEITOSA,52000923,GO,Nova Crixás,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOM PEDRO I, 03 CENTRO. 76520-000 Nova Crixás - GO.",(62) 33853893,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-14.0967978,-50.341222
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL ZIZI PERILLO CAIADO,52000931,GO,Nova Crixás,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 3, SN CENTRO. 76520-000 Nova Crixás - GO.",(62) 33853527,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-14.0942134,-50.3355333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL ALVORADA,52000958,GO,Nova Crixás,Rural,Área de assentamento,Pública,"NUCLEO D ASSENTAMENTOS SAO JUDAS TADEUS, S/N COOPERATIVA. ZONA RURAL. 76520-000 Nova Crixás - GO.",(62) 33853919,Municipal,Não Informado,Sim,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-13.8924602,-50.6831109
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL JOSE PIRES DE SOUZA,52000990,GO,Nova Crixás,Urbana,A escola não está em área de localização diferenciada,Pública,"AV ARAGUAIA ST AGUA BRANCA, 982 AGUA BRANCA. 76520-000 Nova Crixás - GO.",(62) 33853508,Municipal,Não Informado,Sim,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-14.0894035,-50.3411194
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL ORLANDO QUAGLIATO,52001016,GO,Nova Crixás,Rural,A escola não está em área de localização diferenciada,Pública,"FAZENDA BANDEIRANTES, 76520-000 Nova Crixás - GO.",(62) 33853919,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-14.3941703,-50.4941257
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL VALE DO OESTE,52001067,GO,Nova Crixás,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 03, S/Nº ESQUINA COM A 04. VILA VALE DO OESTE. 76520-000 Nova Crixás - GO.",(62) 33853402,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-14.1128171,-50.3421025
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUNICIPAL ALTERNATIVA,52001075,GO,Nova Crixás,Urbana,A escola não está em área de localização diferenciada,Pública,"AV TARUMA, S/N SETOR INDUSTRIAL. 76520-000 Nova Crixás - GO.",(62) 33853260,Municipal,Não Informado,Sim,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-14.1013083,-50.3363717
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL BASILIO EVANGELISTA ROSA,52001130,GO,Nova Crixás,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 14 ESQCOM 5, CENTRO. 76520-000 Nova Crixás - GO.",(62) 33413005,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-13.68992,-50.79786
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL ANA MARIA TORRES,52001148,GO,Novo Planalto,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JERONIMO CARVALHO DO PRADO, 108 CENTRO. 76580-000 Novo Planalto - GO.",(62) 33746187,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-13.2404503,-49.510444
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL DR DORIVAL BRANDAO DE ANDRADE,52001164,GO,Novo Planalto,Rural,A escola não está em área de localização diferenciada,Pública,"RUA PARANA, SN INFUSAO. CENTRO. 76580-000 Novo Planalto - GO.",,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-13.2441781,-49.5038795
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL JOSE DIAS MOTA,52001172,GO,Novo Planalto,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GOIANIA ESQ RUA GOIAS QD 48 LT 13, SN CENTRO. 76580-000 Novo Planalto - GO.",(62) 33746488,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-13.2425992,-49.5030511
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL DE SAO MIGUEL DO ARAGUAIA,52001199,GO,São Miguel do Araguaia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 6, 932 SETOR ELIZIARIO. 76590-000 São Miguel do Araguaia - GO.",(62) 33641224,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-13.2825167,-50.1573033
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE ENSINO EM PERIODO INTEGRAL DR DORIVAL BRANDAO DE ANDRADE,52001202,GO,São Miguel do Araguaia,Urbana,A escola não está em área de localização diferenciada,Pública,"AV JOSE PEREIRA DO NASCIMENTO, CENTRO. 76590-000 São Miguel do Araguaia - GO.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,Atendimento Educacional Especializado,-13.2747626,-50.1680632
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PROFESSORA MARIA ASTERIA,52001210,GO,São Miguel do Araguaia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 09, 287 ALTO ALEGRE. 76590-000 São Miguel do Araguaia - GO.",(62) 39777138,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-13.2753662,-50.1648303
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL CASTELO BRANCO,52001229,GO,São Miguel do Araguaia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 3, 381 SETOR OESTE. 76590-000 São Miguel do Araguaia - GO.",(62) 33642005,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-13.275003,-50.1711279
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL DOM BOSCO,52001237,GO,São Miguel do Araguaia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 2, 171 CENTRO. 76590-000 São Miguel do Araguaia - GO.",,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-13.27009,-50.16179
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE ENSINO EM PERIODO INTEGRAL SAO FRANCISCO DE ASSIS,52001253,GO,São Miguel do Araguaia,Urbana,A escola não está em área de localização diferenciada,Pública,"AV PARANA, 635 BOSQUE DE SAUDE. 76590-000 São Miguel do Araguaia - GO.",(62) 33643147,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-13.28136672,-50.1612174
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUL EVANGELICA ARAGUAIA,52001288,GO,São Miguel do Araguaia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 16, 188 SETOR AEROPORTO. 76590-000 São Miguel do Araguaia - GO.",(62) 39777140,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-13.2771092,-50.1687422
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL FARIA,52001296,GO,São Miguel do Araguaia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 04, 02 RESIDENCIAL MARIA RITA. 76590-000 São Miguel do Araguaia - GO.",(62) 39777146,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-13.2791817,-50.1772783
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL FLOR DA INFANCIA,52001300,GO,São Miguel do Araguaia,Rural,Área de assentamento,Pública,"ASSENTAMENTO GUSTAVO MARTINS, 76590-000 São Miguel do Araguaia - GO.",(62) 39777197,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-13.27236,-49.87171
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL GERALDO FERREIRA BORBA,52001318,GO,São Miguel do Araguaia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA HILTON MACHADO ESQUINA COM AVENIDA AMAZONAS, 560 QD 24 LT 13 A 16. VILA MARTINS. 76590-000 São Miguel do Araguaia - GO.",(62) 39777148,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental","Atendimento Educacional Especializado, Atividade Complementar",-13.26580333,-50.14873833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL LUIZ ALVES,52001326,GO,São Miguel do Araguaia,Rural,A escola não está em área de localização diferenciada,Pública,"AV. CARAJA, QD D.ESQUINA C/ RUA 3, LOTE 01, S/Nº LUIZ ALVES. CENTRO. 76590-000 São Miguel do Araguaia - GO.",(62) 33823196,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-13.2109933,-50.5807025
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL NOVA LOURDES,52001334,GO,São Miguel do Araguaia,Rural,A escola não está em área de localização diferenciada,Pública,"AVENIDA SAO MIGUEL, S/Nº POVOADO DE TATAIRA. 76590-000 São Miguel do Araguaia - GO.",(62) 30551018,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-13.0794386,-49.9754635
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PIRATININGA,52001350,GO,São Miguel do Araguaia,Rural,A escola não está em área de localização diferenciada,Pública,"FAZENDA NOVA PIRATININGA, 76590-000 São Miguel do Araguaia - GO.",(62) 39777191,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-12.8166276,-50.3358466
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL SANTA LUCIA,52001377,GO,São Miguel do Araguaia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 19, 336 SANTA LUCIA. 76590-000 São Miguel do Araguaia - GO.",(62) 39777137,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-13.2856716,-50.1611572
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO SOL NASCENTE,52001407,GO,São Miguel do Araguaia,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA 19, 1519 ESQUINA COM A RUA 11. SETOR AEROPORTO. 76590-000 São Miguel do Araguaia - GO.",(62) 999015640,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-13.2818474,-50.1714458
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL JOSE PEREIRA LEANDRO,52001431,GO,Uirapuru,Urbana,A escola não está em área de localização diferenciada,Pública,"AV CODORNAS, SN CENTRO. 76525-000 Uirapuru - GO.",(62) 33423225,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",,-14.2866871,-49.9195283
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL MARIA EVANGELISTA DA ROSA,52001466,GO,Uirapuru,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA DAS ANDORINHAS, S/N CENTRO. 76525-000 Uirapuru - GO.",(62) 982975590,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-14.2837533,-49.9217817
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL DARIO SAMPAIO DE PAIVA,52001571,GO,Araguapaz,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA PROFESSOR JOSE SOLON, SN CENTRO. 76720-000 Araguapaz - GO.",(62) 33801447,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-15.09128,-50.62696
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE ENSINO EM PERIODO INTEGRAL BRASIL DE RAMOS CAIADO,52001580,GO,Araguapaz,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BAHIA, 80 CENTRO. 76720-000 Araguapaz - GO.",(62) 33802341,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-15.0920221,-50.6350298
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PROF JOAO SOARES DE OLIVEIRA,52001687,GO,Araguapaz,Rural,A escola não está em área de localização diferenciada,Pública,"AVENIDA GOIAS, 76720-000 Araguapaz - GO.",(62) 994325052,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.19808024,-50.24978561
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL FERRAZ DE LIMA,52001725,GO,Araguapaz,Rural,A escola não está em área de localização diferenciada,Pública,"POVOADO DO TIRIRICA, 76720-000 Araguapaz - GO.",(62) 994325052,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.24859992,-50.50515344
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PROFESSORA MARIA SOARES,52001750,GO,Araguapaz,Urbana,A escola não está em área de localização diferenciada,Pública,"AV. JK DE OLIVEIRA C/ AVENIDA TIRADENTES, SN QD. 05, LT 312. SETOR VILAS BOA. 76720-000 Araguapaz - GO.",(62) 994325052,Municipal,Não Informado,Sim,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-15.09721904,-50.63102477
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE ENSINO EM PERIODO INTEGRAL DOM CANDIDO PENSO,52001768,GO,Aruanã,Urbana,Terra indígena,Pública,"PCA ALMIRANTE BARROSO, 376 CENTRO. 76710-000 Aruanã - GO.",(62) 996250946,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-14.9179054,-51.0824772
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL DE TEMPO INTEGRAL DARCY BANDEIRA DE MELO,52001814,GO,Aruanã,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MARACAJA, S/Nº SETOR ENCONTRO DOS RIOS. 76710-000 Aruanã - GO.",(62) 33761037,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-14.9309588,-51.0816392
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL DR PEDRO LUDOVICO TEIXEIRA,52001822,GO,Aruanã,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA KARAJA, S/N NOVA ARUANA. 76710-000 Aruanã - GO.",(62) 33761048,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-14.8995509,-51.078365
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL ALFREDO NASSER,52001954,GO,Britânia,Urbana,A escola não está em área de localização diferenciada,Pública,"AV BRASILIA, 676 CENTRO. 76280-000 Britânia - GO.",(62) 984462673,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-15.2465756,-51.1646367
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO MUNICIPAL DE EDUCACAO INFANTIL GABRIEL MARCHESI,52001962,GO,Britânia,Urbana,A escola não está em área de localização diferenciada,Pública,"AV 07 QD 19, S/N CONJUNTO HABITACIONAL VERA CRUZ. 76280-000 Britânia - GO.",(62) 983085931,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.2569507,-51.169193
ESCOLA PARALISADA,ESCOLA ESTADUAL ADELINO BRAGA,52001970,GO,Britânia,Urbana,Não Informado,Pública,"RUA 01, 76280-000 Britânia - GO.",(62) 84598966,Estadual,Não Informado,Não,,,,,,
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL GOVERNADOR HENRIQUE SANTILLO,52001989,GO,Britânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA VEREADOR EDSON ANTUNES PEREIRA, 508 CENTRO. 76280-000 Britânia - GO.",(62) 33831247,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.23924788,-51.16172637
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL MARIA SESSA STAMATO,52002020,GO,Britânia,Rural,A escola não está em área de localização diferenciada,Pública,"AVENIDA DAS ACACIAS, 76280-000 Britânia - GO.",(62) 33831164,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.0236158,-51.3017278
ESCOLA PARALISADA,ESC MUL RURAL DE CICERLANDIA,52002055,GO,Britânia,Rural,Não Informado,Pública,"POV. CICERLANDIA, 76280-000 Britânia - GO.",,Municipal,Não Informado,Não,,,,,,
ESCOLA PARALISADA,ESC MUL OLAVO BILAC,52002063,GO,Britânia,Rural,Não Informado,Pública,"FAZ. COLORADO, 76280-000 Britânia - GO.",(62) 33831461,Municipal,Não Informado,Não,,,,,,
ESCOLA PARALISADA,ESCOLA MUNICIPAL SANTA MARIA,52002071,GO,Britânia,Rural,Não Informado,Pública,"FAZ.STA MARIA, 76280-000 Britânia - GO.",,Municipal,Não Informado,Não,,,,,,
