CNES,RAZAO_SOCIAL,NOME_FANTASIA,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,CEP,TELEFONE,EMAIL,CODIGO_IBGE,POSSUI_VINCULO_SUS,TIPO_UNIDADE,TIPO_ESTABELECIMENTO,LATITUDE,LONGITUDE
2952262,A A COELHO CENTRO DE SAUDE INTEGRADA,CENTRO DE SAUDE INTEGRADA CSI,AVENIDA JOSE FERREIRA DA SIVLA,S/N,QD 19 LT 01,VILA KLEREA,75363217,-,-,520880,NAO,PRIVADO,CONSULTORIO ISOLADO,-16.50489524545779,-49.42349910736084
939463,A A SERVICOS MEDICOS S S,A A SERVICOS MEDICOS,AV DEP JAMEL CECILIO SALAS 203 E 204,2690,QDB26 LT16 17,JARDIM GOIAS,74810100,6230915317,espacoajr@gmail.com,520870,NAO,IGNORADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.679,-49.254
7874774,A B DE FARIA SAUDE EIRELI,CLINICA SAUDE,FRANKLIN XAVIER,116,SALA 01,CENTRO,75503070,64 34044820,-,521150,NAO,PRIVADO,COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE,-18.42212752990854,-49.21531677246094
411981,A B DE MELO LABORATORIO SORRISO,LABORATORIO DE PROTESE DENTARIA SORRISO,DO ESTRONDO III,S/N,QUADRA74,SETOR CENTRAL,76580000,62 99007918,-,521525,SIM,PRIVADO CONVENIADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-13.244,-49.504
7806582,A B MEDICINA DO TRABALHO LTDA ME,WORK VIDA MEDICINA DO TRABALHO,AV PROGRESSO,431,QD 10 LT 03,CONJUNTO HABITACIONA,75250041,62-35844666,-,522045,NAO,PRIVADO,POLICLINICA,-16.708,-49.093
4311256,A C DA SILVA FISIOTERAPIA,AC FISIOTERAPIA,RUA 33,304,-,CARRILHO,76380760,-,-,520860,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-15.320611692204102,-49.11510944366455
3119211,A C DAVILA,CENTRO DIAGNOSTICO AURION DAVILA,AV UNIVERSITARIA,260,-,CENTRO,74030010,(62) 2136888,-,520870,NAO,PRIVADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-16.67444927921928,-49.234821796417236
250031,A C S DERMATOLOGIA EIRELI,CLINICA AMANDA CASTRO,AVENIDA PORTUGAL,1148,QD L29 LT 15 SLC350,SETOR MARISTA,74150030,62999900603,amandacastrosiqueira@gmail.com,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.6862113,-49.2708968
4022025,A D MEDICAMENTOS LTDA,FAZ BEM DROGARIA E MANIPULACAO,FERNANDO COSTA,440,-,VILA JAIARA,75064780,62 30993333,CASSIOALVES70@GMAIL.COM,520110,NAO,PRIVADO,FARMACIA,-16.28523928029791,-48.97087199100048
7683898,A D ODONTOLOGIA LTDA ME,A D ODONTOLOGIA,AVENIDA PRESIDENTE VARGAS,1258,-,CENTRO,75901040,64 3621 4880,-,521880,NAO,PRIVADO,POLICLINICA,-17.8180864,-50.9495703
4066235,A E M SERVICOS MEDICOS LTDA,A E M SERVICOS MEDICOS,RUA EURICO GASPAR DUTRA,S/N,Q05 L02B,VILA BORGES PROL,75902829,64 92940247,-,521880,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.775864928443816,-50.9285831451416
9427643,A F DO NASCIMENTO ME,D FRANCA,BV 15,S/N,QUADRA21,RESIDENCIAL BOA VIST,75258754,62 35112238,softcontabilidade@hotmail.com,522045,SIM,PRIVADO CONVENIADO,CONSULTORIO ISOLADO,-16.708,-49.093
7438192,A F FREITAS CLINICA MEDICA EIRELI,MULTICLINICA,AVENIDA MIGUEL REALE QD 55 LOTE 12,S/N,-,PED I,72804170,61 6222 4525,-,521250,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.251099325726535,-47.92459487915039
4138368,A F GROMANN,FONOLIFE,RUA ROSULINO FERREIRA GUIMARAES,720,-,SETOR CENTRAL,75901260,63 8400 0002,-,521880,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.79564321142376,-50.926995277404785
9503021,A FARIAS DA SILVA TAVEIRA,ESPACO SORRISO,5,S/N,QUADRA14,SETOR CENTRAL,76345000,62 85938134,-,521470,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-15.022,-49.896
730637,A G COMERCIO DE MEDICAMENTOS LTDA,DROGARIA BOM JESUS,EMA,S/N,QUADRA49,CENTRO,76525000,62 81149230,drogariabomjesusui@gmail.com,522157,NAO,PRIVADO,FARMACIA,-14.2857572,-49.9236185
9550275,A LINO DE SOUZA JUNIOR,CARDIO VIDA,RUA ZEFERINO VICENTE DE ALMEIDA,99,QD 4 LT 19,CENTRO,76300000,62 33073023,-,520540,SIM,PRIVADO CONVENIADO,CLINICA/CENTRO DE ESPECIALIDADE,-15.308,-49.598
7007825,A M CLINICA ODONTOLOGICA LTDA,A M CLINICA ODONTOLOGICA,RUA C 137,1265,QD 316 LT 01,JD AMERICA,74275060,062 - 39418438,marcelomacedodesouza@hotmail.com,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.713151157567143,-49.285268783569336
9322477,A M DE PINHO LORENZO ME,A M DE PINHO LORENZO ME,RUA CACILDA DE MOURA DUTRA,1095,-,CENTRO,75170000,-,-,520840,SIM,PRIVADO CONVENIADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.5137808,-49.0191971
9466231,A M DE SOUZA CLINICA MEDICA,OTO CLINICA,CEL BATISTA,320,-,CENTRO,75020080,62 37011985,-,520110,NAO,PRIVADO,CONSULTORIO ISOLADO,-16.329787068105635,-48.95312547683716
858145,A M O ASSISTENCIA MEDICA OCUPACIONAL LTDA,AMO PRO SAUDE MEDICINA E SEGURANCA DO TRABALHO,RUA 21,121,QD 40 LT 13,CENTRO,74093320,62 32236426,clinica2.2012@gmail.com,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.6907916,-49.2624733
278106,A O CONSULTORIA MEDICA S S,A O CONSULTORIA MEDICA,TRAVESSA CRISTIANO AIRES,18,-,NOSSA SENHORA DE FAT,75709188,64 34425221,-,520510,NAO,IGNORADO,CONSULTORIO ISOLADO,-18.17342776504266,-47.945441007614136
9370862,A P V CUIDADORES ESPECIAIS LTDA ME,SPECIAL CARE,RUA MMM 04,25,Q 03 L 26,TRES MARIAS,74369595,62-9999095498,valdilainevieira2009@hotmail.com,520870,NAO,PRIVADO,SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE),-16.745434399429005,-49.333226680755615
9204741,A PRATES BATISTA ME,MABELE SORRISO,RUA PROFESSOR HENRIQUE PECLAT,S/N,QD 23 LT 02,CENTRO,75261441,-,-,522045,NAO,PRIVADO,CONSULTORIO ISOLADO,-16.708,-49.093
513415,A R VIEIRA ESSENCIAL PROTESES,ESSENCIAL PROTESES,PRESIDENTE VARGAS,150,QUADRA23,SETOR DOS FUNCIONARI,76460000,62 82139673,-,522145,SIM,PRIVADO CONVENIADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-13.51302,-48.74764
9265910,A S CLINICA MEDICA LTDA ME,A S CLINICA MEDICA,RUA 03,274,QUADRA 03 LOTE 03,CENTRO,76300000,62-3307-3131,-,520540,NAO,PRIVADO,CONSULTORIO ISOLADO,-14.9609966,-49.5420592
6636691,A S DE OLIVEIRA BARCELOS RAIO X EIRELI,CENTRO MEDICO CMO,AV ROGERIO GOMES DA SILVA,27,QD 14 LT 02,CENTRO,75980000,6435562225,keite_machado@hotmail.com,521640,SIM,PRIVADO CONVENIADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-16.94798858314751,-50.448832511901855
9579818,A S T SERVICOS ODONTOLOGICOS LTDA,ROALSTAR ODONTOLOGIA,AVENIDA BANDEIRANTES,936,-,CENTRO,76170000,-,-,520130,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.46119215795398,-49.96204376220703
9237674,A T DE OLIVEIRA CENTRO MEDICO E DIAGNOSTICO,CMD,RUA CARLOS BARROMEU,0,QD 17 LT 05,CENTRO,75915000,3629-1930,CLINICACMD@HOTMAIL.COM,521375,SIM,PRIVADO CONVENIADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.4471572,-51.1778263
7132298,A T DE OLIVEIRA CENTRO MEDICO E DIAGNOSTICO,CMD,RUA RUI BARBOSA,1015,-,CENTRO,75901250,6436215870,-,521880,NAO,PRIVADO,POLICLINICA,-17.799269,-50.929373
2900505,A2 OTORRINOLARINGOLOGIA SERVICOS MEDICOS LTDA,A2 OTORRINOLARINGOLOGIA,RUA NIZO JAIME DE GUSMAO,369,SALA 03,VILA AMALIA,75906145,64 96105336,-,521880,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.80144551515925,-50.92384099960327
3284328,AA ORTHOWAY CLINICA DE ORTODONTIA E ORTOPEDIA FACIAL SC L,AA ORTHOWAY CLINICA DE ORTODONTIA E ORTOPEDIA FACIAL,RUA 1137,140,QD 240 LT 20,MARISTA,74180160,-,-,520870,NAO,IGNORADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.699833499046605,-49.257309436798096
9846891,AAA ODONTOLOGIA LTDA,PRO VITA ODONTOLOGIA,RUA SANTO AGOSTINHO,577,QD 49 LT 17,JARDIM PLANALTO,74333250,6232874586,gutaogyn@yahoo.com.br,520870,NAO,PRIVADO,CONSULTORIO ISOLADO,-16.66378073503511,-49.32389259338379
6341926,AARON E ALEXANDRE LUCATO LTDA,ORTHO RIO CLINICA DENTARIA,AV JOAO BELO,120,-,JD GOIAS,75901970,6436123737,-,521880,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.7737011,-50.8963588
6688365,AAZ SERVICOS MEDICOS LTDA ME,AAZ SERVICOS MEDICOS,JOAO XXIII,50,-,CENTRO,75702130,64 34111230,-,520510,NAO,PRIVADO,CONSULTORIO ISOLADO,-18.16667944002207,-47.9478120803833
6272835,ABADIA APARECIDA AZEVEDO DOS SANTOS,ABADIA APARECIDA AZEVEDO DOS SANTOS,AV PIO XII,312,-,CENTRO,76200000,643603-7258,-,521020,NAO,IGNORADO,CONSULTORIO ISOLADO,-16.4392932,-51.1141703
3936724,ABADIA LUIZA DE SOUZA,ABADIA LUIZA DE SOUZA,RUA C 255,270,QD 588 LT 4,NOVA SUICA,74280010,(62) 3941-7570,-,520870,NAO,IGNORADO,CONSULTORIO ISOLADO,-16.716480427002676,-49.2742395401001
6490506,ABAS ASSOCIACAO BENEFICENTE AUTA DE SOUZA,ASSOCIACAO BENEFICENTE AUTA DE SOUZA,RUA DO ANCIAO,61,QD 3 LT 1,VILA ANDRE LUIZ,75903130,64 3623-4820,-,521880,SIM,ENTIDADES SEM FINS LUCRATIVOS,CLINICA/CENTRO DE ESPECIALIDADE,-17.7761074,-50.9268744
4152379,ABAS ASSOCIACAO BENEFICIENTEAUTA DE SOUZA,ABAS UNIDADE II,AV CINCO DE AGOSTO,469,BLOCO B BLOCO C BLOC,SOLAR MONTE SIAO,75911168,6436234820,-,521880,NAO,ENTIDADES SEM FINS LUCRATIVOS,CLINICA/CENTRO DE ESPECIALIDADE,-17.75827104171155,-50.925750732421875
7849443,ABDALA ALINE LTDA,ABDALA CLINICA E CIRURGIA,38 TRINTA E OITO,150,-,SANTA INES,75503972,64 34312731,-,521150,NAO,PRIVADO,CONSULTORIO ISOLADO,-18.429313772508543,-49.22576665878296
7406800,ABDALA E TAVARES LTDA,ABDALA E TAVARES,PRACA DA BANDEIRA,355,SALA 04,SETOR CENTRAL,75503520,64 34316510,maricel@netsite.com.br,521150,NAO,PRIVADO,CONSULTORIO ISOLADO,-18.41714685,-49.2168577572921
3727378,ABDALA SEBBA PRIMO,ABDALA SEBBA PRIMO,RUA 18,46,QD 31 LT 14,CENTRO,74030040,(62) 3225-7939,-,520870,NAO,IGNORADO,CONSULTORIO ISOLADO,-16.677717558104753,-49.25471305847168
49948,ABEL FERREIRA BORGES NETO,ARTE RISO,AVENIDA PRESIDENTE KENNEDY,S/N,QD 11 LT 23,PARQUE SAO JOSE,75830086,-,-,521310,NAO,IGNORADO,CONSULTORIO ISOLADO,-17.571737,-52.5749307
5483131,ABEL MARTINS NETO,ABEL MARTINS NETO,AVENIDA RAULINA PASCHOAL,1511,-,CENTRO,75701480,(64) 34111465,-,520510,NAO,IGNORADO,CONSULTORIO ISOLADO,-18.166934290872543,-47.94860601425171
6395805,ABELARDO ANTONIO ABRANTES,ABELARDO ANTONIO ABRANTES,RUA 4,3,SALA 3,CENTRO,76400000,62 33571406,-,522160,NAO,IGNORADO,CONSULTORIO ISOLADO,-14.5244164,-49.1510022
6762891,ABF SAUDE LTDA,ABF SAUDE RENAL,ALFREDO NASSER,465,-,VILA SANTANA,75113640,62 37062510,PRORIMANAPOLIS@HOTMAIL.COM,520110,NAO,PRIVADO,POLICLINICA,-16.3343803,-48.9372472
5234735,ABIDALA MIGUEL FILHO,ABIDALA MIGUEL FILHO,RUA 7 A,165,QD 11 A LT 18 SL701,AEROPORTO,74075230,(62) 3225-6389,-,520870,NAO,IGNORADO,CONSULTORIO ISOLADO,-16.641455036937753,-49.2681884765625
9098658,ABIGAIL SILVEIRA DE ARAUJO GUIMARAES,ABIGAIL SILVEIRA DE ARAUJO GUIMARAES,RUA 1123,359,QD 220 LT 18,SETOR MARISTA,74175070,62 - 32872318,-,520870,NAO,IGNORADO,CONSULTORIO ISOLADO,-16.706554100258746,-49.26321029663086
4379284,ABM CLINICA MEDICA LTDA,ACESSO SAUDE AGUAS LINDAS,Q QUADRA 2,05,-,JARDIM DA BARRAGEM I,72920004,6181218758,ACESSOSAUDE.AGLINDAS@GMAIL.COM,520025,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-15.735009936522186,-48.28716516494751
7818173,ABNER CRISTIAN BARRETO ME,CETEC CENTRO DE TREINAMENTO E CAPACITACAO,RUA RAFAEL NASCIMENTO,135,SALA 04,CENTRO,75901970,64 3621-5588,-,521880,NAO,PRIVADO,POLICLINICA,-17.7973373,-50.928446
5501504,ABRAHAO ISSA NETO,ABRAHAO ISSA NETO,AVENIDA PROFESSORA ZENAIDE CAMPOS RORIZ,495,-,CENTRO,75020420,-,-,520110,NAO,IGNORADO,CONSULTORIO ISOLADO,-16.33181537485646,-48.94143104553223
5142075,ABRAO AFIUNE NETO,ABRAO AFIUNE NETO,AVENIDA A,407,QD F 0 LT 16 SL 106,OESTE,74110060,(62) 3212 2060,-,520870,NAO,IGNORADO,CONSULTORIO ISOLADO,-16.683698980464957,-49.27419662475586
5117569,ABRAO JORGE NETO,ABRAO JORGE NETO,RUA 101,387,QD F 17 LT 43,SUL,74080150,(62) 3225 7093,-,520870,NAO,IGNORADO,CONSULTORIO ISOLADO,-16.68400729613389,-49.249863624572754
7793863,ABRAO SILVA LTDA,ABRAO SILVA,DA REPUBLICA,130,SALA 507,CENTRO,75503260,64 34315028,-,521150,SIM,PRIVADO CONVENIADO,CONSULTORIO ISOLADO,-18.419257020477122,-49.21671152114868
9269959,ABREU E QUEIROZ SERVICOS MEDICOS E ODONTOLOGICOS SS,MEDIC ODONTO ABREU,MADRE ESPERANCA GARRIDO,63,SALA 16,SETOR CENTRAL,75701150,62 81375527,exatacontabilidade10@gmail.com,520510,NAO,IGNORADO,CONSULTORIO ISOLADO,-18.16312168331009,-47.96483874320984
4214463,ABREU MEDICAL SERVICE LTDA,MICKAELIS MEDICINA,JOSE DE CARVALHO,1200,QUADRA47 LOTE 04,SETOR ANTENA,75805060,62 94822222,CONTABILIDADE@MEDCOMPANYCONTABIL.COM.BR,521190,NAO,PRIVADO,CONSULTORIO ISOLADO,-17.87695017312093,-51.72470569610596
7116586,ABREU MEDICOS ASSOCIADOS LTDA ME,CARDIOCOR,QUADRA 08 CASA 42 ETAPA A,42,-,VALPARAISO I,72876024,61-3627-7686,-,522185,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.066,-47.979
646091,ABRIGO COMENDADOR WALMOR,ABRIGO COMENDADOR WALMOR,LOC FAZENDA SANTO ANTONIO,S/N,RUA JOSE LEAO S FILH,ZONA RURAL,74912390,3548-2197,abrigocomendadorwalmor@gmail.com,520140,NAO,ENTIDADES SEM FINS LUCRATIVOS,CENTRO DE SAUDE/UNIDADE BASICA,-16.822,-49.245
489360,ABRIGO DE IDOSOS MUNICIPAL,ABRIGO DE IDOSOS MUNICIPAL,RUA GOIAS,S/N,-,CENTRO,75810000,-,-,521130,SIM,PUBLICA MUNICIPAL,CENTRO DE SAUDE/UNIDADE BASICA,-18.770668101538533,-51.347694396972656
6776868,ABRIGO DOS IDOSOS SAO VICENTE DE PAULO DE GOIANIA,ABRIGO DOS IDOSOS SAO VICENTE DE PAULO DE GOIANIA,RUA B 6,250,Q AREA L AREA,VILA AMERICANO DO BR,74465539,062 - 32531199,abrigossvp@bol.com.br,520870,SIM,ENTIDADES SEM FINS LUCRATIVOS,CLINICA/CENTRO DE ESPECIALIDADE,-16.689721323183765,-49.28844451904297
9370536,ABSCITO LABORATORIO CLINICO LTDA ME,GENERAL LABORATORY CITOPATOLOGIA,RUA 95,67,QD F13 LT 5,SETOR SUL,74083170,62 30880302,labcem01@gmail.com,520870,NAO,PRIVADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-16.680903562376113,-49.25273895263672
989290,ABUD E NASCIMENTO PRODUTOS FARMACEUTICOS LTDA,DROGACHEI,RUA OLIMPIO LEITE QD 04 LOTE 22 LOJA 02,S/N,-,ROSARIO,72812140,61 9956 4646,-,521250,NAO,PRIVADO,FARMACIA,-16.24833886349303,-47.94787645339966
823732,AC MEDICAL CENTER LTDA,FONOMED,MAL DEODORO,521,-,SETOR CENTRO,76170000,64 35642072,-,520130,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.462717,-49.962914
2890461,ACA SERVICOS MEDICOS LTDA,ACA SERVICOS MEDICOS,AV A,S/N,QUADRA02 LOTE 08 SAL,CONJUNTO ADOLFO PERE,75230000,-,-,520630,SIM,PRIVADO CONVENIADO,CONSULTORIO ISOLADO,-17.199,-48.704
6708064,ACACIAMED MEDICINA DO TRABALHO E SEGURANCA LTDA,ACACIAMED,JOAO XXIII,525,-,SAO JOAO,75703045,64 34428370,legalizacao@agilizacontabiludi.com.br,520510,NAO,IGNORADO,CONSULTORIO ISOLADO,-18.165843526621618,-47.94503331184387
9036385,ACACIAS SERVICOS MEDICOS E ESPECIALIDADES LTDA,ACACIAS MEDICA E ESPECIALIDADES,SAO JOSE,55,FUNDOSFUNDOS,BELO HORIZONTE,76420000,62 33544392,acaciascontabilidade@hotmail.com,521460,NAO,PRIVADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-14.474,-48.46
9020675,ACACIAS SERVICOS TECNICOS EM SAUDE LTDA,ACACIAS SERVICOS TECNICOS EM SAUDE LTDA ME,SAO JOSE,55,FUNDOSFUNDOS,BELO HORIZONTE,76420000,62 33544392,acaciascontabilidade@hotmail.com,521460,NAO,PRIVADO,COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE,-14.474,-48.46
673110,ACADEMIA,ACADEMIA DE SAUDE DE BONOPOLIS,AVENIDA INDEPENDENCIA,S/N,ENTRADA PRINCIPAL,CENTRO,76555000,-,SAUDEBONOPOLISGO@HOTMAIL.COM,520357,SIM,PUBLICA MUNICIPAL,POLO ACADEMIA DA SAUDE,-13.6511907,-49.8379014
7816456,ACADEMIA,ACADEMIA DA SAUDE,AVENIDA PRESIDENTE GETULIO VARGAS,10,QD 04 LOTES 16 17 18,SETOR CENTRAL,76460000,-,eduastrombas2017@hotmail.com,522145,SIM,PUBLICA MUNICIPAL,POLO ACADEMIA DA SAUDE,-13.509,-48.74
7239750,ACADEMIA DA SAUDE,ACADEMIA DA SAUDE,RUA AMAZONAS C RUA 7 SETEMBRO ACIMA PSF SANICA,S/N,QD 29,DIVINO ESPIRITO SANT,75831026,-,SAUDEACADEMIA@MINEIROS.GO.GOV.BR,521310,SIM,PUBLICA MUNICIPAL,POLO ACADEMIA DA SAUDE,-17.569,-52.551
9018417,ACADEMIA DA SAUDE,ACADEMIA DA SAUDE 2,RUA DA DIVISA QUADRA 23A,S/N,-,IORES LEONTINO,75834292,-,-,521310,SIM,PUBLICA MUNICIPAL,POLO ACADEMIA DA SAUDE,-17.569,-52.551
4372921,ACADEMIA DA SAUDE DE FAZENDA NOVA,ACADEMIA DA SAUDE DE FAZENDA NOVA,AVENIDA GOIAS,S/N,LAGO MUNICIPAL,CENTRO,76220000,-,-,520760,SIM,PUBLICA MUNICIPAL,POLO ACADEMIA DA SAUDE,-16.1767042,-50.7846646
2940442,ACADEMIA DA SAUDE DE PEROLANDIA,ACADEMIA DA SAUDE DE PEROLANDIA,RUA DOMETIL S CRUZ,S/N,Q 13 L 2,PLANALTO,75823000,-,-,521645,SIM,PUBLICA MUNICIPAL,POLO ACADEMIA DA SAUDE,-17.530141,-52.0648552
9258094,ACADEMIA DA SAUDE DE SAO LUIS DE MONTES BELOS,ACADEMIA DE SAUDE DE SAO LUIS DE MONTES BELOS,RUA R 8,S/N,-,PARQUE ECOLOGICO,76100000,-,-,522010,SIM,PUBLICA MUNICIPAL,POLO ACADEMIA DA SAUDE,-16.509498515475414,-50.38101553916931
151076,ACADEMIA DE SAUDE DE ALTO HORIZONTE,ACADEMIA DE SAUDE,RUA NATAL,S/N,-,RESIDENCIAL SUL,76560000,-,-,520055,SIM,PUBLICA MUNICIPAL,POLO ACADEMIA DA SAUDE,-14.198397777150843,-49.33817267417908
7903529,ACADEMIA IMPERIUM RVE EIRELI,IMPERIUM ACADEMIA,AVENIDA JOSE WALTER,S/N,QD 03 LT 48,RESIDENCIAL ARAGUAIA,75909397,6433734084,-,521880,NAO,PRIVADO,POLICLINICA,-17.7964458,-50.9425072
7584814,ACADEMIA MALHACAO LTDA,ACADEMIA MALHACAO,RUA 72,737,ESQ COM 20,POPULAR,75901970,64 923-03217,-,521880,NAO,PRIVADO,POLICLINICA,-17.7802861,-50.9166849
9415572,ACADEMIA SKEMA LTDA ME,ACADEMIA SKEMA,JOAO MANOEL DE SOUZA,881,-,CENTRO,75526030,64 34313407,-,521150,NAO,PRIVADO,CONSULTORIO ISOLADO,-18.41998483147895,-49.21795606613159
7376006,ACADEMIDA SAUDE DE AMARALINA,ACADEMIA DA SAUDE,AVENIDA ANTONIO ALIPIO DIAS,S/N,EM FRENTE AO ESTADIO,CENTRO,76493000,62 3384-3108,pgaraujo1@yahoo.com.br,520082,SIM,IGNORADO,POLO ACADEMIA DA SAUDE,-13.9287582,-49.2974906
478989,ACAMPI ASSOCIACAO CRISTA AMPARO MATERNIDADE PROTECAO A INFAN,AMBULATORIO DR INACIO FERREIRA,EQUADOR,13,-,DOM VELLOSO,75503970,-,-,521150,NAO,ENTIDADES SEM FINS LUCRATIVOS,CONSULTORIO ISOLADO,-18.41988812949523,-49.21795606613159
900591,ACAMPI ASSOCIACAO CRISTA AMPARO MATERNIDADE PROTECAO A INFAN,AMA ASSOCIACAO DE AMIGOS DO AUTISTA DE ITUMBIARA GO,AV SUL GOIANA,13,-,VILA MUTIRAO,75503970,-,-,521150,SIM,ENTIDADES SEM FINS LUCRATIVOS,CLINICA/CENTRO DE ESPECIALIDADE,-18.417506189791013,-49.257824420928955
9789669,ACAMPI ASSOCIACAO CRISTA AMPARO MATERNIDADE PROTECAO A INFAN,CASA DO CAMINHO,MERCEDES MARTINS VILELA,S/N,-,DOM VELOSO,75503970,-,-,521150,NAO,ENTIDADES SEM FINS LUCRATIVOS,CLINICA/CENTRO DE ESPECIALIDADE,-18.420519236198185,-49.22250509262085
9184813,ACAMPI ASSOCIACAO CRISTA AMPARO MATERNIDADE PROTECAO A INFAN,COMUNIDADE TERAPEUTICA PAULO DE TARSO,SUL GOIANA,S/N,KM 113,ZONA RURAL,75925000,-,-,520505,NAO,ENTIDADES SEM FINS LUCRATIVOS,POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE,-18.091,-50.201
