CÓDIGO MEC,NOME_DA_UNIDADE,DEP. ADMINISTRATIVA,CONVÊNIO,LOGRADOURO,BAIRRO,MUNICIPIO,LATITUDE,LONGITUDE,DATA_CRIACAO_UNIDADE,QUANTIDADE_DE_ALUNOS_MATRICULADOS
52090396,CENTRO MUNICIPAL  DE EDUCAÇÃO INFANTIL SANTA ROSA DE LIMA,MUNICIPAL,NÃO POSSUI,AV. RIO VERDE                                                                                       ,VILA OLAVO                                        ,JATAÍ                                             ,-17.876.248.000.000.000,-51.737.127.000.000.000,8/3/2006,204
52017150,ESCOLA MUNICIPAL FRANCISCO LOPES SOBRINHO,MUNICIPAL,MUNICIPAL,AV ANTONIO BRAGA                                                                                    ,SETOR AEROPORTO                                   ,HIDROLINA                                         ,-14.719.520.000.000.000,-49.474.140.000.000.000,8/3/2006,0
52045595,COLÉGIO ESTADUAL DA POLÍCIA MILITAR DE GOIÁS OLGA AGUIAR MOHN ,ESTADUAL,NÃO POSSUI,RUA 7 DE SETEMBRO                                                                                   ,CENTRO                                            ,CRISTALINA                                        ,-16.763.982.972.484.500,-47.604.644.894.599.900,8/3/2006,676
52085724,CENTRO DE EDUCACAO INFANTIL THAYS DE SOUSA RIBEIRO                    ,MUNICIPAL,NÃO POSSUI,RUA S31 QD. 71  LT. 01                                                                              ,,SENADOR CANEDO                                    ,,,8/3/2006,0
52010392,ESCOLA ISOLADA LUDOVICO PEREIRA DO LAGO,MUNICIPAL,NÃO POSSUI,FAZ PORTEIRO                                                                                        ,,PORANGATU                                         ,,,8/3/2006,0
52070255,ESCOLA ESTADUAL REUNIDA CALUNGA II,ESTADUAL,NÃO POSSUI,FAZENDA RIACHÃO                                                                                     ,ZONA RURAL                                        ,MONTE ALEGRE DE GOIÁS                             ,-13.392.625.190.628.900,-47.311.892.302.875.900,8/3/2006,369
52015084,ESCOLA MUNICIPAL WILSON BALESTRA,MUNICIPAL,NÃO POSSUI,AV. PROFESSORA LÁZARA LAUREANO DE SOUZA                                                             ,CENTRO                                            ,CARMO DO RIO VERDE                                ,-15.356.980.198.195.900,-49.702.277.183.532.700,8/3/2006,19
52027570,COLÉGIO ESTADUAL MARIA BARRETO,ESTADUAL,NÃO POSSUI,AV JOVITO FERREIRA SOARES                                                                           ,CENTRO                                            ,ISRAELÂNDIA                                       ,-16.316.757.012.288.200,-50.906.304.717.063.900,8/3/2006,219
52002110,ESCOLA MUNICIPAL FRANCISCO ELIEZER CURADO,MUNICIPAL,NÃO POSSUI,POV VERA CRUZ                                                                                       ,,FAINA                                             ,,,8/3/2006,0
52034500,Escola Municipal Rainha da Paz,MUNICIPAL,MUNICIPAL,"RUA U 58, 159 0. SETOR UNIAO                                                                        ",SETOR UNIAO                                       ,GOIÂNIA                                           ,-16.689.089.294.421.800,-49.230.860.173.702.200,8/3/2006,0
52097080,CMEI DRA MARIZETE FERNANDES DE CASTRO CARVALHO,MUNICIPAL,NÃO POSSUI,AVENIDA COMERCIAL                                                                                   ,,GOIÂNIA                                           ,,,30/8/2023,0
52094413,CENTRO MUNICIPAL DE EDUCAÇAO INFANTIL ANASIA CUNHA,MUNICIPAL,NÃO POSSUI,RUA CODORNA ESQUINA COM  AVESTRUZ                                                                   ,CEU AZUL                                          ,RIO VERDE                                         ,,,,0
52064107,ESCOLA MUNICIPAL  ZENAIDE CAMPOS RORIZ,MUNICIPAL,NÃO POSSUI,RUA GUARANY                                                                                         ,VL FERREIRA D SANTOS                              ,VIANÓPOLIS                                        ,-16.743.264.000.000.000,-48.507.981.000.000.000,24/12/2005,0
52006786,ESCOLA MUNICIPAL CARLOS OLIVEIRA  DA SILVA,MUNICIPAL,NÃO POSSUI,AVENIDA MINAS GERAIS                                                                                ,SETOR CERAMICA,ESTRELA DO NORTE                                  ,-13.866.674.400.000.000,-49.072.618.800.000.000,8/3/2006,246
52098974,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL MANUEL BANDEIRA,MUNICIPAL,NÃO POSSUI,AVENIDA DO ESTADO                                                                                   ,JARDIM DOS IPÊS,ANÁPOLIS                                          ,-16.277.511.000.000.000,-48.936.623.000.000.000,7/4/2014,0
52089614,CENTRO DE ENSINO EM PERÍODO INTEGRAL DEPUTADO PROFESSOR JOSÉ LUCIANO,ESTADUAL,NÃO POSSUI,AV MIGUEL DO CARMO                                                                                  ,RIO FORMOSO                                       ,GOIÂNIA                                           ,-16.717.680.080.068.000,-49.332.228.899.002.000,8/3/2006,545
52090493,ESCOLA MUNICIPAL INCONFIDENTES MINEIROS,MUNICIPAL,NÃO POSSUI,FAZENDA MATA DO EDUARDO                                                                             ,ZONA RURAL,NIQUELÂNDIA                                       ,-14.468.902.746.375.500,-48.457.903.861.999.500,8/3/2006,0
52103900,CENTRO DE ENSINO EM PERÍODO INTEGRAL MARIA DE JESUS ALVES ,ESTADUAL,NÃO POSSUI,"RUA 14, ESQUINA COM RUA 7 E RUA 9, QD. 05                                                           ",PQ NOVA FRIBURGO                                  ,CIDADE OCIDENTAL                                  ,-16.086.843.000.000.000,-47.936.023.000.000.000,26/1/2018,867
52076261,CENTRO DE ENSINO EM PERÍODO INTEGRAL DOM ERIC JAMES DEITCHMAN,ESTADUAL,NÃO POSSUI,"RUA PEROBEIRAS, QD 03                                                                               ",NOVA REPUBLICA                                    ,MINEIROS                                          ,-17.574.866.600.000.000,-52.542.399.600.000.000,24/12/2005,351
52040410,COLÉGIO ESTADUAL IRMÃ DULCE,ESTADUAL,NÃO POSSUI,AV BURITI                                                                                           ,CENTRO                                            ,BURITINÓPOLIS                                     ,-14.457.771.000.000.000,-46.429.773.000.000.000,8/3/2006,262
52000648,COLÉGIO ESTADUAL COSTA E SILVA,ESTADUAL,NÃO POSSUI,RUA PIO MOTA                                                                                        ,CENTRO                                            ,MOZARLÂNDIA                                       ,-14.749.796.509.195.400,-50.570.003.986.358.600,12/1/2006,852
52097170,CRECHE MUNICIPAL LUARA SISTEROLLI DE CARVALHO ANDRADE,MUNICIPAL,NÃO POSSUI,PRAÇA PEDRO FERREIRA DE AZEVEDO                                                                     ,TANCREDO NEVES,PIRES DO RIO                                      ,-17.295.076.999.999.900,-48.269.230.000.000.000,21/2/2014,120
52058042,ESC MUL OSCAR MENDONCA                                                ,MUNICIPAL,NÃO POSSUI,POV BREJO BONITO                                                                                    ,,BOM JESUS DE GOIÁS                                ,,,8/3/2006,0
52088979,ESC MUL SIMAO PEDRO MARTINS                                           ,MUNICIPAL,NÃO POSSUI,FAZ SANTA RITA DO SALTINHO                                                                          ,,VIANÓPOLIS                                        ,,,8/3/2006,0
52017583,COLÉGIO ESTADUAL DA POLÍCIA MILITAR DE GOIÁS DEPUTADO JOSÉ ALVES DE ASSIS,ESTADUAL,NÃO POSSUI,RUA 48                                                                                              ,CENTRO                                            ,ITAPURANGA                                        ,-15.559.558.654.562.000,-49.950.678.697.606.000,8/3/2006,804
52095347,ESC MUL PARANÃ,MUNICIPAL,NÃO POSSUI,POVOADO PARANÃ                                                                                      ,,MONTE ALEGRE DE GOIÁS                             ,,,,0
52070425,ESCOLA MUNICIPAL MILITARIZADA PROFESSORA MARIA JOSUÉ PEREIRA,MUNICIPAL,NÃO POSSUI,R ALEXANIA                                                                                          ,CENTRO                                            ,ABADIÂNIA                                         ,-16.207.533.000.000.000,-48.708.230.000.000.000,8/3/2006,0
52021769,ESCOLA MUNICIPAL LINDOLFO PEREIRA DA SILVA,MUNICIPAL,NÃO POSSUI,RUA DR. LUIZ C. DE GODOY                                                                            ,V.HARMONIA                                        ,ANÁPOLIS                                          ,-16.288.075.990.000.000,-48.965.346.960.000.000,8/3/2006,0
52002144,ESCOLA MUNICIPAL BOA ESPERANÇA,MUNICIPAL,NÃO POSSUI,FAZ BOA ESPERANCA                                                                                   ,,FAINA                                             ,,,8/3/2006,0
52098435,ESCOLA MUNICIPAL ALVORADA,MUNICIPAL,NÃO POSSUI,RUA 05 QD 206                                                                                       ,CENTRO                                            ,NOVO GAMA                                         ,-16.057.045.000.000.000,-48.044.552.000.000.000,17/11/2017,293
52032914,CENTRO PROMOCIONAL TODOS OS SANTOS I,MUNICIPAL,NÃO POSSUI,RUA PRUDENTE DE MORAIS                                                                              ,CAPUAVA                                           ,GOIÂNIA                                           ,,,8/3/2006,0
52077063,ESCOLA  MUNICIPAL ISAURA MARIA DA SILVA                                         ,MUNICIPAL,NÃO POSSUI,AV. SETE DE SETEMBRO                                                                                ,CENTRO                                            ,JUSSARA                                           ,-15.738.294.583.224.000,-51.461.657.282.436.000,8/3/2006,0
52025179,ESCOLA MUNICIPAL DE 1º GRAU JANUARIO DE SIQUEIRA NUNES,MUNICIPAL,NÃO POSSUI,FAZENDA CANTAGALO                                                                                   ,CENTRO                                            ,JARAGUÁ                                           ,-15.331.542.000.000.000,-49.117.086.000.000.000,8/3/2006,0
52031527,ESCOLA ESTADUAL MARIETA TELLES MACHADO,ESTADUAL,NÃO POSSUI,AVENIDA MONTE CRISTO                                                                                ,JD. OLIMPICO                                      ,APARECIDA DE GOIÂNIA                              ,-16.746.872.736.146.600,-49.214.050.769.805.900,8/3/2006,360
52078299,ESCOLA MUNICIPAL ELIDIA MASCHIETTO SANTILLO,MUNICIPAL,NÃO POSSUI,RUA A ESQUINA COM A RUA B                                                                           ,BACALHAU                                          ,GOIÁS                                             ,,,8/3/2006,0
52048454,ESCOLA MUNICIPAL JARDIM PAIVA                                                  ,MUNICIPAL,NÃO POSSUI,QUADRA 06 LOTE 06 APM/I                                                                             ,RES JD PAIVA                                      ,NOVO GAMA                                         ,-16.068.758.931.013.200,-48.033.838.570.117.900,8/3/2006,516
52257371,ESCOLA MUNICIPAL ITAMAR PERILLO,MUNICIPAL,NÃO POSSUI,AV : 06 de julho esq. c/ a rua Sta BARBARA                                                          ,GOIANINHA                                         ,PALMEIRAS DE GOIÁS                                ,-16.803.502.420.027.000,-49.919.092.851.216.000,8/3/2013,483
52040976,ESCOLA MUNICIPAL RUI BARBOSA,MUNICIPAL,NÃO POSSUI,PROJETO DE ASSENTAMENTO CONCEIÇÃO                                                                   ,P. A. CONCEIÇÃO,FLORES DE GOIÁS                                   ,-14.364.396.637.855.000,-47.085.788.995.020.900,8/3/2006,0
52003973,ESC MUL FRANCISCO RODRIGUES REBOUÇAS,MUNICIPAL,NÃO POSSUI,AVENIDA GOIÁS                                                                                       ,CENTRO                                            ,JUSSARA                                           ,-15.738.294.583.224.000,-51.461.657.282.436.000,8/3/2006,0
52101100,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL ANA CAIXETA RAMOS,MUNICIPAL,NÃO POSSUI,"RUA PATATIVA,  QUADRA. 05, LT. 10 - RES. SÃO JUDAS TADEU                                            ",SÃO JUDAS TADEU,SILVÂNIA                                          ,-16.669.142.200.000.000,-48.616.147.700.000.000,3/12/2015,64
52095002,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL GESSICA IZIDÓRIO,MUNICIPAL,NÃO POSSUI,RUA 03                                                                                              ,CENTRO                                            ,CACHOEIRA ALTA                                    ,-18.764.365.000.000.000,-50.947.742.000.000.000,,0
52088715,ESCOLA  MUNICIPAL MARIA VIEIRA DE LIMA,MUNICIPAL,NÃO POSSUI,RUA JOANA DE AQUINO BORGES                                                                          ,VILA ESMERALDA                                    ,PETROLINA DE GOIÁS                                ,-16.108.520.624.206.000,-49.332.335.655.333.900,8/3/2006,302
52046087,ESCOLA MUNICIPAL JOSE RODRIGUES QUEIROZ,MUNICIPAL,NÃO POSSUI,PROJETO DE ASSENTEMENTO TRES BARRAS                                                                 ,CENTRO                                            ,CRISTALINA                                        ,-16.770.233.911.901.700,-47.613.201.141.357.400,8/3/2006,0
52050840,COLÉGIO ESTADUAL ALFA,ESTADUAL,NÃO POSSUI,QD. 01 AREA ESPECIAL DE ENSINO                                                                      ,SETOR OESTE                                       ,PLANALTINA                                        ,-15.455.872.493.658.400,-47.618.597.745.895.400,8/3/2006,871
52049337,ESC MUL PRATA                                                         ,MUNICIPAL,NÃO POSSUI,FAZENDA PRATA                                                                                       ,,MIMOSO DE GOIÁS                                   ,,,8/3/2006,0
52040305,ESCOLA MUNICIPAL TIA NEIVA,MUNICIPAL,NÃO POSSUI,Vale do Amanhecer                                                                                   ,CENTRO,ALVORADA DO NORTE                                 ,-14.483.710.756.051.000,-46.491.771.588.886.000,8/3/2006,0
52099148,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL ANNA RIBEIRO DE FREITAS,MUNICIPAL,NÃO POSSUI,RUA 08                                                                                              ,PQ LAGO DE FORMOSA                                ,FORMOSA                                           ,-15.561.627.000.000.000,-47.338.211.000.000.000,1/6/2022,0
52054349,COLÉGIO ESTADUAL EUGÊNIO JARDIM,ESTADUAL,NÃO POSSUI,RUA COSTA GOMES                                                                                     ,CENTRO                                            ,RIO VERDE                                         ,-17.790.612.011.936.000,-50.919.597.744.941.700,24/12/2005,456
52112209,CRECHE MUNICIPAL JOSE LUIZ PEREIRA,MUNICIPAL,NÃO POSSUI,RUA RONALDO VIEIRA DOS SANTOS                                                                       ,,GOIATUBA                                          ,,,30/8/2023,0
52008312,COLÉGIO ESTADUAL DE EDUCAÇÃO DO CAMPO SANTO ANTÔNIO DE CANA BRAVA,ESTADUAL,NÃO POSSUI,"RUA SANTO ANTÔNIO, QUADRA 04                                                                        ",CANA BRAVA                                        ,MINAÇU                                            ,-13.506.837.280.743.900,-48.364.080.190.658.500,8/3/2006,118
52040585,ESCOLA MUNICIPAL TANCREDO NEVES,MUNICIPAL,NÃO POSSUI,Avenida Bahia                                                                                       ,CENTRO                                            ,DAMIANÓPOLIS                                      ,46.177.193.000.000.000.000.000,14.564.551.000.000.000.000.000,8/3/2006,109
52044610,ESC MUL SANTA MARIA DE NAZARE,MUNICIPAL,NÃO POSSUI,FAZENDA ALGODOEIRO                                                                                  ,,COCALZINHO DE GOIÁS                               ,,,8/3/2006,0
52043193,ESC MUL CLAUDEMIRO ALVES DAS NEVES                                    ,MUNICIPAL,NÃO POSSUI,FAZ MUNDO NOVO                                                                                      ,,SÍTIO D ABADIA                                    ,,,8/3/2006,0
52082407,CENTRO MUL EDUCACIONAL INF CRIANÇA ESPERANÇAIII                       ,MUNICIPAL,NÃO POSSUI,RUA 9 DE JULHO                                                                                      ,,LUZIÂNIA                                          ,,,8/3/2006,0
99900104,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL TEREZINHA GERMANO MARTINS,MUNICIPAL,NÃO POSSUI,"R. ARGEMIRO GARCIA, QD.13 LT.04                                                                     ",,CAMPO LIMPO DE GOIÁS                              ,,,22/9/2007,0
52029220,ESCOLA ESTADUAL JOSÉ MANOEL DA SILVA,ESTADUAL,NÃO POSSUI,AV. ALFREDO NASSER                                                                                  ,POVOADO DE NOVO PLANALTO,FIRMINÓPOLIS                                      ,-16.678.154.352.152.600,-50.300.678.014.755.200,8/3/2006,89
52065936,CENTRO MUL E T JOAO MARCELINO                                         ,MUNICIPAL,NÃO POSSUI,R CEL JOAO VAZ ESQ AV MAL COSTA E SILVA                                                             ,CENTRO                                            ,IPAMERI                                           ,-17.467.099.000.000.000,-47.883.066.999.999.900,8/3/2006,486
52088227,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL PROFESSORA DARLY,MUNICIPAL,NÃO POSSUI,AV SOLAR PRACA DOS VIOLEIROS                                                                        ,,GOIÂNIA                                           ,,,8/3/2006,0
52095746,CENTRO EDUCAÇÃO INFANTIL MIRTES CHAVES GUIMARÃES,MUNICIPAL,NÃO POSSUI,RUA 21                                                                                              ,FORMOSINHA                                        ,FORMOSA                                           ,-15.561.627.000.000.000,-47.338.211.000.000.000,,0
52070565,ESCOLA MUNICIPAL DARCY RIBEIRO,MUNICIPAL,NÃO POSSUI,AVENIDA PRIMENTRAL                                                                                  ,BOA VISTA                                         ,NOVO GAMA                                         ,-16.068.758.931.013.200,-48.033.838.570.117.900,8/3/2006,209
52042600,ESCOLA MUNICIPAL ZEZINHO MOREIRA                                                    ,MUNICIPAL,NÃO POSSUI,AVENIDA MARIANA SOARES                                                                              ,ZONA RURAL,SÃO DOMINGOS                                      ,-13.550.913.200.000.000,-46.467.397.700.000.000,8/3/2006,88
52052303,ESC MUL JOAO INACIO                                                   ,MUNICIPAL,NÃO POSSUI,AV RIO VERDE                                                                                        ,CENTRO                                            ,CASTELÂNDIA                                       ,,,8/3/2006,0
52020444,COLÉGIO ESTADUAL PADRE FERNANDO GOMES DE MELO,ESTADUAL,NÃO POSSUI,RUA 113 ESQ.C/ 119 3 ETAPA                                                                          ,VILA FORMOSA                                      ,ANÁPOLIS                                          ,-16.358.166.005.350.200,-48.937.150.239.944.500,23/12/2005,531
52099997,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL CANTINHO DO SABER,MUNICIPAL,NÃO POSSUI,RUA ANTONIO PEREIRA DA SILVA                                                                        ,CENTRO                                            ,BURITINÓPOLIS                                     ,-46.428.200.000.000.000,-14.459.844.000.000.000,30/8/2021,138
52006034,COLÉGIO ESTADUAL JOÃO GONÇALVES FILHO,ESTADUAL,NÃO POSSUI,RUA SILVA FROIS                                                                                     ,BELA VISTA                                        ,ALTO HORIZONTE                                    ,-14.195.969.108.721.100,-49.338.397.979.736.300,8/3/2006,146
52072240,ESC MUL ISOLADA SOPHIA JOANNA JUNKER CORADI                           ,MUNICIPAL,NÃO POSSUI,ASSENTAMENTO SAMURAI                                                                                ,,PORANGATU                                         ,,,8/3/2006,0
52103048,COLÉGIO ESTADUAL JOSÉ ABÍLIO,ESTADUAL,NÃO POSSUI,"Quadra 42 Lotes K,L,M e N                                                                           ",ABC,CIDADE OCIDENTAL                                  ,-16.098.010.400.000.000,-47.936.662.900.000.000,12/12/2017,271
52012450,ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL CASA DA VOVÓ,MUNICIPAL,MUNICIPAL,RUA 12 DE DEZEMBRO                                                                                  ,PARAISINHO                                        ,ALTO PARAISO DE GOIÁS                             ,-14.136.656.000.000.000.000.000,-47.516.562.000.000.000.000.000,8/3/2006,0
52105598,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL OSVALDO FELÍCIO DE OLIVEIRA,MUNICIPAL,NÃO POSSUI,LOTEAMENTO ITAMAR  NÓBREGA                                                                          ,GIRASSOL                                          ,COCALZINHO DE GOIÁS                               ,-15.744.279.000.000.000,-48.408.855.000.000.000,26/11/2019,142
52088855,ESC MUL SAO JOAO DA MATA AZUL                                         ,MUNICIPAL,NÃO POSSUI,POVOADO SÃO JOAO DA MATA AZUL                                                                       ,,MUNDO NOVO                                        ,,,8/3/2006,0
52092011,COLÉGIO ESTADUAL VALE DA ESPERANÇA,ESTADUAL,NÃO POSSUI,ASSENTAMENTO VALE DA ESPERANÇA                                                                      ,ASSENTAMENTO VALE DA ESPERANÇA,FORMOSA                                           ,-15.062.332.657.653.000,-47.377.757.598.848.700,8/3/2006,111
52071995,ESCOLA MUNICIPAL MILITARIZADO MUNDO MAGICO            ,MUNICIPAL,NÃO POSSUI,Rua H4                                                                                              ,CENTRO                                            ,PIRACANJUBA                                       ,-17.301.435.706.870.500,-49.024.958.038.644.400,8/3/2006,440
52084833,CRECHE MUL PREF ANTONIO ALEXANDRE DE FREITAS                          ,MUNICIPAL,NÃO POSSUI,RUA 13                                                                                              ,,ITAJÁ                                             ,,,8/3/2006,0
52064387,ESCOLA MUNICIPAL ANTONIO DE SOUSA LOBO SOBRINHO,MUNICIPAL,NÃO POSSUI,Rua Dois                                                                                            ,CENTRO                                            ,VIANÓPOLIS                                        ,-16.747.396.698.965.000,-48.516.794.443.130.000,8/3/2006,0
52078736,ESC MUL EUGENIO GAMA DOS SANTOS                                       ,MUNICIPAL,NÃO POSSUI,RUA 3 A                                                                                             ,,BRITÂNIA                                          ,,,8/3/2006,0
52003370,PRE ESCOLAR SERRA DOURADA,MUNICIPAL,NÃO POSSUI,RUA PRINCIPAL                                                                                       ,DAVINOPOLIS                                       ,GOIÁS                                             ,,,8/3/2006,0
52040771,COLÉGIO ESTADUAL JÚLIO CESAR TEODORO,ESTADUAL,NÃO POSSUI,RUA PROF ANGELICA                                                                                   ,NOVA FLORES                                       ,FLORES DE GOIÁS                                   ,-14.456.706.000.000.000,-47.039.112.000.000.000,8/3/2006,299
52269370,ESCOLA MUNICIPAL DE TEMPO INTEGRAL SETOR GRAJAU,MUNICIPAL,NÃO POSSUI,RUA G 1                                                                                             ,,GOIÂNIA                                           ,,,30/8/2023,0
52015998,ESCOLA ESTADUAL PEDRO MENDONÇA,ESTADUAL,NÃO POSSUI,R 01 COM A RUA 30                                                                                   ,SETOR OESTE                                       ,GOIANÉSIA                                         ,-15.319.473.457.584.300,-49.134.260.416.030.800,23/12/2005,749
52016501,ESCOLA MUNICIPAL JOAO MANOEL DA SILVA,MUNICIPAL,NÃO POSSUI,RUA 22                                                                                              ,MUNIZ FALCAO                                      ,GOIANÉSIA                                         ,-15.323.521.762.095.000,-49.105.494.835.359.000,8/3/2006,309
52089401,COLÉGIO ESTADUAL SENADOR ONOFRE QUINAN,ESTADUAL,NÃO POSSUI,RUA 1051 LT.38 ESQ. C/ 1032                                                                         ,PARQUE ATENEU                                     ,GOIÂNIA                                           ,-16.738.211.730.111.900,-49.198.896.288.871.700,8/3/2006,905
52054209,COLÉGIO ESTADUAL MARTINS BORGES,ESTADUAL,NÃO POSSUI,RUA CORONEL VAIANO                                                                                  ,CENTRO                                            ,RIO VERDE                                         ,-17.794.539.935.145.500,-50.933.732.986.450.200,24/12/2005,1198
52078051,CRECHE MUNICIPAL DONA VERONICA,MUNICIPAL,NÃO POSSUI,RUA 36                                                                                              ,SAO CRISTÓVAO                                     ,GOIANÉSIA                                         ,-15.282.950.000.000.000,-49.160.966.000.000.000,8/3/2006,48
52106489,ESCOLA MUNICIPAL JOSÉ JUVENIL SOARES,MUNICIPAL,NÃO POSSUI,RUA RSP3 ESQUINA COM AV DAS PAINEIRAS                                                               ,CENTRO                                            ,GOIANIRA                                          ,-16.519.265.314.157.100,-49.420.835.673.809.000,20/9/2021,631
52002624,ESCOLA MUNICIPAL JARDIM DA INFANCIA PROFESSORA TEREZINHA VIGGIANO MENDES ,MUNICIPAL,NÃO POSSUI,RUA VEREADORA HUGO ARGENTA                                                                          ,STA BARBARA                                       ,GOIÁS                                             ,-15.933.954.831.191.000,-50.138.230.300.053.900,23/12/2005,0
52079562,COLÉGIO ESTADUAL CORA CORALINA,ESTADUAL,NÃO POSSUI,"RUA 38 ESQ. C/ 4ª AVENIDA,                                                                          ",MANSOES VILLAGE                                   ,ÁGUAS LINDAS DE GOIÁS                             ,-15.732.031.000.000.000,-48.257.182.000.000.000,8/3/2006,1175
52095541,ESC MUL CLAUDIA ROSA GOMES PEIXOTO,MUNICIPAL,NÃO POSSUI,RUA 13 QD 260                                                                                       ,,LUZIÂNIA                                          ,,,,0
52026850,ESCOLA MUNICIPAL GERALDO FERREIRA QUEIROZ,MUNICIPAL,NÃO POSSUI,RUA ARAÚJO                                                                                          ,CENTRO                                            ,FAZENDA NOVA                                      ,-16.353.220.000.000.000,-50.710.167.000.000.000,8/3/2006,23
52274381,ESCOLA MUNICIPAL MARIA APARECIDA GONÇALVES MARQUES,MUNICIPAL,NÃO POSSUI,AVENIDA COPACABANA                                                                                  ,JARDIM IPANEMA                                    ,TRINDADE                                          ,-16.631.082.000.000.000,-49.398.274.000.000.000,14/5/2013,1655
52034321,ESCOLA MUNICIPAL LORENA PARK,MUNICIPAL,NÃO POSSUI,RUA VALENTIN CAPUZZO Q.10                                                                           ,LORENA PARK                                       ,GOIÂNIA                                           ,,,8/3/2006,0
52011798,CENTRO DE ENSINO EM PERÍODO INTEGRAL  AEROPORTO,ESTADUAL,NÃO POSSUI,AVENIDA TANCREDO NEVES                                                                              ,SETOR AEROPORTO                                   ,URUAÇU                                            ,-14.528.031.703.928.300,-49.128.182.530.403.100,8/3/2006,326
52039897,CENTRO DE ENSINO EM PERÍODO INTEGRAL MENINO JESUS,ESTADUAL,NÃO POSSUI,RUA NOSSA SENHORA DA ABADIA                                                                         ,JARDIM PRIMAVERA                                  ,TRINDADE                                          ,-16.661.560.616.402.400,-49.493.547.677.993.700,21/12/2005,252
52087999,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL BRINCANDO E APRENDENDO,MUNICIPAL,NÃO POSSUI,R UBERABA ESQ C/UBÁ E ITÚ                                                                           ,,GOIÂNIA                                           ,,,8/3/2006,0
52050157,ESC MUL DOM EMMANOEL GOMES DE OLIVEIRA,MUNICIPAL,NÃO POSSUI,R DO CARMO                                                                                          ,ALTO DO CARMO                                     ,PIRENÓPOLIS                                       ,,,8/3/2006,0
